sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00041,69,center,ck4,CK4,0.3615855260900683,0.2827124012060619,-0.07887312488400638,0.7818686888911597,136
L69_center_00042,69,center,ck4,CK4,0.47710321788357757,0.33263274941571075,-0.14447046846786682,0.6971924249248714,136
L69_center_00043,69,center,ck4,CK4,0.39826534299348904,0.37726717045721103,-0.020998172536278004,0.9472759231861626,136
L69_center_00044,69,center,ck4,CK4,0.3380494664658661,0.30098747554519056,-0.037061990920675525,0.8903651843970066,136
L69_center_00045,69,center,ck4,CK4,0.33071970322017813,0.27328057184997256,-0.057439131370205565,0.8263208063779459,136
L69_center_00046,69,center,ck4,CK4,0.2671409913829339,0.2989852021866209,0.03184421080368699,1.119203760676473,136
L69_center_00047,69,center,ck4,CK4,0.404262984324241,0.3728693862508134,-0.03139359807342762,0.9223436245940136,136
L69_center_00048,69,center,ck4,CK4,0.40505577598566317,0.31966374033321343,-0.08539203565244974,0.7891845007155949,136
L69_center_00049,69,center,ck4,CK4,0.41793689972955156,0.3065947257481726,-0.11134217398137897,0.7335909462566506,136
L69_center_00050,69,center,ck4,CK4,0.4351705064764664,0.31881883467423466,-0.11635167180223172,0.7326296932567421,136
L69_center_00051,69,center,ck4,CK4,0.3990827339127542,0.3065947257481726,-0.09248800816458158,0.7682485351901971,136
L69_center_00052,69,center,ck4,CK4,0.44521858017661065,0.32428101640449497,-0.12093756377211567,0.7283636192268934,136
L69_center_00053,69,center,ck4,CK4,0.3917967387935116,0.3084667009603332,-0.08333003783317844,0.7873130897164108,136
L69_center_00054,69,center,ck4,CK4,0.3333333333333333,0.33333333333333326,-5.551115123125783e-17,0.9999999999999998,136
L69_center_00055,69,center,ck4,CK4,0.3797725402733119,0.30846670096033324,-0.07130583931297868,0.8122406657899441,136
L69_center_00056,69,center,ck4,CK4,0.3664291996094344,0.3131121455425747,-0.05331705406685966,0.8544956184613872,136
L69_center_00057,69,center,ck4,CK4,0.3721696011442392,0.31881883467423466,-0.05335076647000453,0.8566493171232227,136
L69_center_00058,69,center,ck4,CK4,0.3867487860080217,0.32274861218395134,-0.06400017382407036,0.8345174538628212,136
L69_center_00059,69,center,ck4,CK4,0.3859224924939799,0.31695088621397555,-0.06897160628000437,0.8212811960394346,136
L69_center_00060,69,center,ck4,CK4,0.437126837585682,0.3201856212896195,-0.11694121629606247,0.732477610064057,136
L69_center_00061,69,center,ck4,CK4,0.39529182043841943,0.33051894571181745,-0.06477287472660198,0.8361390967949649,136
L69_center_00062,69,center,ck4,CK4,0.3759246174752755,0.3176684061121656,-0.05825621136310988,0.8450321988638018,136
L69_center_00063,69,center,ck4,CK4,0.4018984559748599,0.31622776601683783,-0.08567068995802207,0.786834986090663,136
L69_center_00064,69,center,ck4,CK4,0.44462722894373247,0.3313245784203318,-0.11330265052340066,0.7451738374355407,136
L69_center_00065,69,center,ck4,CK4,0.16609493731612437,0.2625254145052274,0.096430477189103,1.5805744518604397,136
L69_center_00066,69,center,ck4,CK4,0.4056901720552703,0.35355339059327373,-0.05213678146199657,0.8714862102824281,136
L69_center_00067,69,center,ck4,CK4,0.3999999999999999,0.0,-0.3999999999999999,0.0,136
L69_center_00068,69,center,ck4,CK4,0.38098285131231924,0.3009874755451905,-0.07999537576712873,0.7900289330829993,136
L69_center_00069,69,center,ck4,CK4,0.41702882811414954,0.32969023669789355,-0.087338591416256,0.7905694150420949,136
L69_center_00070,69,center,ck4,CK4,0.3893922959314143,0.3072909543717099,-0.08210134155970439,0.7891551979390847,136
L69_center_00071,69,center,ck4,CK4,0.4714045207910317,0.32901153193317956,-0.14239298885785212,0.6979388559555768,136
