motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
138,120,SE120,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
138,125,SE125,kmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.3148148148148148,0.3159098228663446,1024
138,125,SE125,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.3333333333333333,0.3306836248012719,512
138,125,SE125,property_channels,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.4074074074074074,0.4049523623711508,625
138,125,SE125,rope_property,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.4537037037037037,0.4494808743169399,2000
138,125,SE125,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.37962962962962965,0.371689953968435,1904
138,125,SE125,cspaced_property_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.4074074074074074,0.40781592836387354,147
138,125,SE125,oracle_motif_pair,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
138,130,SE130,kmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.3611111111111111,0.3605662550375605,1024
138,130,SE130,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,130,126,16900,15876,nearest_linear_probe,0.37037037037037035,0.3620941558441559,512
